Ensembl ID,Symbol,Alias symbol,Total_Support,Is Oncogene,Is Tumor Suppressor Gene,In OnkoKB,PubmedID
ENSG00000118707,TGIF2,,352,,,False,
ENSG00000125249,RAP2A,,352,,,False,
ENSG00000179222,MAGED1,"DLXIN-1, NRAGE",352,No,No,True,
ENSG00000184984,CHRM5,,350,,,False,
ENSG00000117399,CDC20,,350,,,False,
ENSG00000100142,POLR2F,,350,,,False,
ENSG00000099250,NRP1,,350,,,False,
,RAPTOR,,350,,,False,
ENSG00000142224,IL19,,350,,,False,
ENSG00000236693,HLA-DPB1,,350,,,False,
ENSG00000123728,RAP2C,,350,,,False,
ENSG00000158402,CDC25C,,348,,,False,
ENSG00000103769,RAB11A,,346,,,False,
ENSG00000276886,GREM1,"CKTSF1B1, CRAC1, DAND2, DRM, HMPS, gremlin",346,Yes,No,True,
ENSG00000101938,CHRDL1,,346,,,False,
,SKIP,,346,,,False,
ENSG00000213809,KLRK1,,346,,,False,
ENSG00000162891,IL20,,344,,,False,
ENSG00000166148,AVPR1A,,344,,,False,
ENSG00000115361,ACADL,,344,,,False,
ENSG00000198049,AVPR1B,,344,,,False,
ENSG00000128652,HOXD3,,344,,,False,
ENSG00000118785,SPP1,,342,,,False,
ENSG00000170759,KIF5B,"KNS, KNS1",342,No,No,True,
,PLIN,,342,,,False,
ENSG00000162695,SLC30A7,,340,,,False,
ENSG00000133116,KL,,340,,,False,
ENSG00000134363,FST,,340,,,False,
ENSG00000111252,SH2B3,"IDDM20, LNK",340,No,Yes,True,
ENSG00000145740,SLC30A5,,340,,,False,
ENSG00000135333,EPHA7,Hek11,340,Yes,Yes,True,
ENSG00000152683,SLC30A6,,340,,,False,
ENSG00000145242,EPHA5,"CEK7, Hek7",340,No,No,True,
ENSG00000081051,AFP,,338,,,False,
ENSG00000106628,POLD2,,336,,,False,
ENSG00000274803,BDP1,,336,,,False,
ENSG00000082556,OPRK1,,334,,,False,
ENSG00000116329,OPRD1,,334,,,False,
ENSG00000159899,NPR2,,334,,,False,
ENSG00000112210,RAB23,,334,,,False,
ENSG00000180644,PRF1,"HPLH2, PFP",332,No,No,True,
ENSG00000100234,TIMP3,,332,,,False,
ENSG00000231002,TRIM26,,332,,,False,
ENSG00000141433,ADCYAP1,,332,,,False,
ENSG00000078549,ADCYAP1R1,,332,,,False,
ENSG00000213639,PPP1CB,"MP, PP-1B, PP1B, PP1beta, PP1c, PPP1beta",330,No,No,True,
ENSG00000007372,PAX6,,330,,,False,
ENSG00000241186,TDGF1,,330,,,False,
ENSG00000197696,NMB,,330,,,False,
ENSG00000137752,CASP1,,330,,,False,
ENSG00000134443,GRP,,330,,,False,
,SRPR,,328,,,False,
ENSG00000144867,SRPRB,,328,,,False,
ENSG00000173153,ESRRA,,328,,,False,
ENSG00000153037,SRP19,,328,,,False,
ENSG00000140319,SRP14,,328,,,False,
ENSG00000167881,SRP68,,328,,,False,
ENSG00000100883,SRP54,,328,,,False,
ENSG00000174780,SRP72,,328,Yes,No,True,
ENSG00000143742,SRP9,,328,,,False,
ENSG00000182481,KPNA2,,328,,,False,
ENSG00000092067,CEBPE,,328,,,False,
ENSG00000175063,UBE2C,,326,,,False,
ENSG00000148516,ZEB1,,326,,,False,
ENSG00000100387,RBX1,,326,,,False,
ENSG00000225950,NTF4,,326,,,False,
ENSG00000139515,PDX1,,324,,,False,
ENSG00000104081,BMF,,324,,,False,
ENSG00000242361,HLA-DMA,,322,,,False,
ENSG00000228163,HLA-DPA1,,322,,,False,
ENSG00000165471,MBL2,,322,,,False,
ENSG00000233192,HLA-DQA2,,322,,,False,
ENSG00000092853,CLSPN,,322,,,False,
ENSG00000225890,HLA-DQA1,,322,,,False,
ENSG00000140505,CYP1A2,,320,,,False,
ENSG00000147669,POLR2K,,320,,,False,
ENSG00000186918,ZNF395,,320,,,False,
ENSG00000129990,SYT5,,320,,,False,
ENSG00000163743,RCHY1,,318,,,False,
ENSG00000120053,GOT1,,316,,,False,
ENSG00000023330,ALAS1,,316,,,False,
ENSG00000125363,AMELX,,316,,,False,
ENSG00000104722,NEFM,,316,,,False,
ENSG00000005421,PON1,,316,,,False,
ENSG00000099721,AMELY,,316,,,False,
ENSG00000175745,NR2F1,,316,,,False,
