Alpha_Node,Total_Support
YES1,-682
ABL2,298
ABLIM1,-696
ABLIM2,-696
ABLIM3,-696
ABR,-428
ACAA1,692
PPARA,-1054
PPARG,-1010
RXRA,-1132
RXRB,-958
RXRG,-956
ACACA,210
PRKAA1,394
PRKAA2,394
PRKAB1,394
PRKAB2,392
PRKAG1,-838
PRKAG2,392
PRKAG3,256
SREBF1,302
ACACB,522
CPT1A,652
CPT1B,760
CPT1C,760
ACADL,344
HADHA,-334
HADHB,-334
PPARD,28
ACADM,884
ACAN,522
ACAP1,34
ARF6,-1000
CLTC,-1032
GULP1,-756
SLC2A4,-1088
ACAP2,-744
ACD,-270
HIST1H4A,-230
HIST3H3,46
POT1,-270
TERF1,260
TERF2,-138
TERF2IP,-326
TINF2,-270
ACHE,660
ATF1,-1402
CREB1,-1442
ACIN1,-404
CASP3,-916
ACOX1,624
ACOX2,834
ACOX3,834
ACP1,-362
CTNNB1,-452
EFNA1,-646
PDGFRB,-1032
ACP5,122
SPI1,-1274
ACSL1,672
ACSL3,672
ACSL4,672
ACSL5,672
ACSL6,668
ACSS1,-336
SIRT3,-336
ACTA1,-898
ACTN1,-616
ACTN2,-766
ACTN3,-768
ACTN4,-620
ADAM17,-642
AGRN,-486
AP2A1,-536
AP2A2,-638
ARHGEF6,-618
ARHGEF7,-690
BCAR1,-938
CAPN1,-898
CAST,-742
CDH1,-888
CDH3,-574
CGNL1,-174
CHRM1,196
CHRNA1,78
CLTA,-1020
CLTB,-1138
CTNNA1,-348
CTNNA2,-156
CTNNA3,-156
CTTN,-560
DAG1,-442
DIAPH1,616
DKFZP686A08248,-170
DKFZP779C1668,-170
DKFZP781B1340,-236
DMD,-734
ERBB3,-1260
EZR,-478
FLT1,-982
FLT4,-988
GIT2,-452
GSN,-566
HIP1,-412
HSPB1,-894
HTT,-1158
IFT57,190
ITGA1,-982
ITGB1,-1188
JUP,-408
KDR,-598
LAMA1,-1262
LAMA2,-1254
LAMA3,-1188
LAMA4,-1156
LAMA5,-1268
LAMB1,-1266
LAMB2,-1270
LAMB3,-1270
LAMC1,-728
LAMC2,-1274
LAMC3,-1274
MAL,-564
MAPK3,-624
MLLT4,-730
MMP1,-150
MMP12,-500
MMP13,-288
MMP14,-762
MMP15,-540
MMP16,-374
MMP19,-374
MMP2,-612
MMP20,-374
MMP21,-374
MMP23A,-374
MMP24,-374
MMP25,-374
MMP27,-374
MMP28,-524
MMP7,-594
MMP8,-374
MMP9,-566
MYH1,-206
MYH10,396
MYH11,-206
MYH13,-206
MYH14,-204
MYH16,-170
MYH2,-206
MYH3,-48
MYH4,-206
MYH6,-44
MYH7,-52
MYH7B,-206
MYH8,-46
MYH9,-96
MYO15A,-170
MYO16,-170
MYO18A,-170
MYO18B,-170
