Alpha_Node,Total_Support
ARHGDIA,-483
EWSR1,-567
MYC,-69
POLR2A,-667
BAZ1B,-545
ACTN1,-431
CAMK2A,-515
CTNNA1,-265
FBP1,-667
GRIN2A,-343
MAGEA11,-417
PKN1,-75
PYGB,-365
TTN,41
XRCC4,-331
ZYX,-175
CSRP3,-193
CDK5R1,-145
CDK5R2,-379
MYOT,-495
GIPC1,-513
TES,-283
SSX2IP,-251
RAVER1,-3
ACTN2,-367
ACTN3,-421
DLG1,-229
DLG4,-435
GRIN2B,-177
KCNA4,-187
KCNA5,-403
SELE,-63
ADAM12,77
(null),-631
KIAA0992,-239
DISC1,-429
MYPN,-395
ACVR1,-27
ACVR1B,-503
BMP2,-587
BMP7,-685
ENG,-521
FNTA,-617
IGSF1,-605
INHBA,-773
INHBB,-753
INHBC,-789
SMAD1,-451
SMAD5,-623
GDF5,-963
ACVR2A,-209
ACVR2B,-611
SMAD4,-357
SMAD7,-383
SNX1,-315
TDGF1,-177
TGFBRAP1,-293
BMP6,-355
GDF9,-483
TGFBR3,-217
GDF8,-311
SNX2,-79
GDF11,-141
ACVRL1,-481
TGFB1,-117
TGFBR2,-235
ACY1,-601
TTC1,-247
ADA,49
ADORA1,-643
DPP4,-583
DRD1,-531
NR3C1,-623
ADAM10,45
EFNA2,-767
ADAR,-359
XPO1,-405
ADCY1,-655
ADCY2,-165
ADCY5,-635
GNAS,-675
GNAI1,-831
PRKCZ,-273
RGS2,-139
ADCY6,-255
CHRNA7,-399
ADCYAP1,-65
ADCYAP1R1,-649
SCTR,-623
SHH,-213
VIPR2,-649
ADD1,-527
ADD2,-571
CALM1,-171
ID2,-141
SPTA1,-493
SPTB,-221
HSPH1,-595
FYN,-63
ADH5,-267
CHD3,-705
ADM,-327
EDN1,-257
CFH,-385
NPPC,-715
ADMR,-137
EPB41L2,-645
GNAI2,7
GNAO1,-647
GNAZ,-257
GRM1,-615
P2RY1,-619
DRD2,-413
PARP1,69
BCL2,-713
CASP3,-657
CDKN1A,-199
CENPA,-835
CENPB,-863
MYBL2,-321
NFKB1,-579
PCNA,-733
POU2F1,-423
RELA,-419
RPS3A,-173
RXRA,-573
XRCC1,-353
BUB3,-577
PARP2,-847
PARP3,-847
RBM14,-343
ZNF423,-475
POLA2,-569
APTX,-765
PARP4,-623
MVP,-61
ADRA1B,-163
AP2M1,-569
GNA11,-777
SAG,-409
ADRA1A,-227
ADRA2A,-405
ADRB1,127
EIF2B1,-649
ADRA2B,-429
ADRA2C,-503
ARRB1,-481
ADRB2,39
ARR3,-277
GNA15,-711
GRK6,-89
KCNJ6,-613
KCNJ9,-535
OPRD1,-651
SLC9A3R1,-273
AKAP5,-521
GNA14,-827
ADRB3,-153
ADRBK1,-199
CAV1,-361
CCR4,-687
FSHR,-503
GNAQ,-395
PBP,-429
PDCL,-517
PDC,-477
PRKCB1,-135
RCV1,-635
RHO,-377
GIT2,-433
FREQ,-661
GIT1,-127
ADRBK2,-605
CXCR4,-219
AP2A1,159
BIN1,-473
AP2S1,-433
EPS15,-79
GHR,-87
HIP1,-543
RIT1,-77
SHC1,-697
DEK,-621
PICALM,-229
ENTH,-367
RAB11FIP2,-1013
SYT3,-813
TOE1,-165
AP2A2,-137
AP2B1,-439
HD,-153
AP1B1,-471
AP1G1,-199
ARF1,-195
ARF5,-373
ARF6,-185
ARRB2,-575
BUB1,-333
BUB1B,-429
CLTC,-237
SMAD2,-537
AP1M2,-277
CABIN1,-313
KIF13A,-381
MEA1,-239
MLH1,-415
TGFBR1,-97
AP1M1,-775
ATP6V1G1,-227
KIAA0408,-193
POM121,-387
LDLRAP1,-349
RIBC2,-169
76P,-163
NUP54,-285
TERF2IP,-89
FAM46C,-417
THAP1,-985
NECAP2,-71
LGP2,-239
AP1S1,-745
MAP1A,-415
AP1S2,-591
RABEP1,-489
AP1GBP1,-235
AFTIPHILIN,-229
GM632,-741
DNER,-649
AEBP1,-499
TCF3,-227
AES,-227
AR,-579
GTF2E1,-705
HMGB1,-149
